Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.37,-.53,-.24,-.31,-.07,-.18,-.20,-.28,-.25,-.33,-.44,-.41,-.30,***,***,-.21,-.22,-.34
1881,-.31,-.23,-.04,.00,.03,-.34,.07,-.05,-.27,-.44,-.37,-.24,-.18,-.20,-.32,-.01,-.11,-.36
1882,.26,.21,.01,-.32,-.25,-.31,-.29,-.16,-.25,-.53,-.33,-.68,-.22,-.18,.08,-.19,-.25,-.37
1883,-.58,-.66,-.16,-.29,-.24,-.13,-.04,-.23,-.33,-.16,-.42,-.15,-.28,-.33,-.64,-.23,-.13,-.30
1884,-.17,-.09,-.63,-.60,-.37,-.43,-.40,-.50,-.45,-.45,-.58,-.48,-.43,-.40,-.14,-.53,-.44,-.49
1885,-1.01,-.46,-.24,-.49,-.59,-.46,-.35,-.42,-.40,-.37,-.39,-.13,-.44,-.47,-.65,-.44,-.41,-.39
1886,-.75,-.84,-.72,-.37,-.34,-.38,-.16,-.44,-.34,-.32,-.41,-.22,-.44,-.43,-.57,-.48,-.33,-.36
1887,-1.09,-.71,-.44,-.39,-.27,-.22,-.25,-.56,-.22,-.49,-.27,-.44,-.45,-.43,-.67,-.37,-.34,-.33
1888,-.50,-.61,-.64,-.23,-.17,-.04,-.02,-.22,-.20,-.05,-.02,-.25,-.25,-.26,-.52,-.35,-.09,-.09
1889,-.29,.28,-.03,.15,-.05,-.07,-.08,-.21,-.31,-.42,-.62,-.56,-.18,-.16,-.09,.02,-.12,-.45
1890,-.65,-.58,-.48,-.26,-.37,-.17,-.25,-.40,-.36,-.11,-.64,-.49,-.40,-.40,-.60,-.37,-.27,-.37
1891,-.47,-.67,-.16,-.36,-.16,-.14,-.13,-.13,-.08,-.28,-.53,-.02,-.26,-.30,-.54,-.23,-.13,-.30
1892,-.50,-.18,-.66,-.45,-.23,-.05,-.38,-.33,-.21,-.27,-.82,-.67,-.40,-.34,-.24,-.45,-.25,-.43
1893,-1.51,-.96,-.32,-.30,-.43,-.18,-.14,-.34,-.29,-.28,-.34,-.60,-.47,-.48,-1.05,-.35,-.22,-.30
1894,-.92,-.43,-.22,-.54,-.27,-.41,-.21,-.27,-.33,-.28,-.48,-.36,-.39,-.41,-.65,-.34,-.30,-.36
1895,-.71,-.81,-.50,-.19,-.31,-.21,-.19,-.28,-.06,-.09,-.14,-.23,-.31,-.32,-.63,-.33,-.23,-.10
1896,-.37,-.19,-.50,-.61,-.17,.07,-.01,-.12,-.14,.04,-.21,-.22,-.20,-.20,-.27,-.43,-.02,-.10
1897,-.41,-.43,-.40,-.06,.12,-.07,.03,-.07,-.07,-.16,-.26,-.30,-.17,-.17,-.35,-.11,-.03,-.17
1898,.03,-.46,-.81,-.29,-.29,-.10,-.13,-.19,-.20,-.38,-.52,-.28,-.30,-.30,-.24,-.47,-.14,-.37
1899,-.14,-.65,-.59,-.23,-.25,-.35,-.17,-.07,-.06,.03,.34,-.49,-.22,-.20,-.36,-.36,-.20,.11
1900,-.64,-.15,.04,-.12,-.05,-.12,-.13,-.10,-.04,.22,-.14,-.04,-.11,-.14,-.43,-.04,-.11,.01
1901,-.35,-.11,.26,.09,-.12,.00,.00,-.17,-.29,-.33,-.21,-.41,-.13,-.10,-.17,.08,-.06,-.27
1902,-.15,-.04,-.38,-.38,-.40,-.40,-.33,-.30,-.34,-.33,-.47,-.61,-.35,-.33,-.20,-.39,-.34,-.38
1903,-.24,.11,-.18,-.48,-.44,-.47,-.44,-.57,-.50,-.47,-.42,-.58,-.39,-.39,-.25,-.37,-.49,-.46
1904,-.78,-.63,-.47,-.52,-.45,-.49,-.60,-.55,-.64,-.40,-.10,-.36,-.50,-.52,-.66,-.48,-.55,-.38
1905,-.43,-.83,-.24,-.47,-.31,-.29,-.23,-.25,-.20,-.28,.07,-.18,-.30,-.32,-.54,-.34,-.25,-.14
